Name,Battery Energy,Availability,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Maker
Lucid Air Dream Edition P,118 kWh useable battery,Available since January 2022,270 km/h,645 km,183 Wh/km,820 km/h,All Wheel Drive,5,"€218,000",N/A,Lucid
Porsche Taycan Turbo S,83.7 kWh useable battery,Available since January 2020,260 km/h,400 km,209 Wh/km,980 km/h,All Wheel Drive,4,"€189,668","£142,400",Porsche
Audi e-tron GT RS,85 kWh useable battery,Available since March 2021,250 km/h,405 km,210 Wh/km,1000 km/h,All Wheel Drive,4,"€146,050","£115,000",Audi
Renault Zoe ZE50 R110,52 kWh useable battery,Available since November 2019,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"€36,840",N/A,Renault
Audi Q4 e-tron 35,52 kWh useable battery,Available since June 2021,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,N/A,Audi
Tesla Model Y Performance,75 kWh useable battery,Available since March 2022,250 km/h,415 km,181 Wh/km,640 km/h,All Wheel Drive,5,"€63,667","£59,990",Tesla
Porsche Taycan 4 Cross Turismo,83.7 kWh useable battery,Available since July 2021,220 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€98,514","£84,500",Porsche
Renault Zoe ZE50 R135,52 kWh useable battery,Available since November 2019,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"€37,840","£29,995",Renault
Porsche Taycan Turbo,83.7 kWh useable battery,Available since January 2020,260 km/h,415 km,202 Wh/km,1020 km/h,All Wheel Drive,4,"€156,348","£119,900",Porsche
Smart EQ fortwo coupe,16.7 kWh useable battery,Available since January 2020,130 km/h,100 km,167 Wh/km,-,Rear Wheel Drive,2,"€21,940",N/A,Smart
Smart EQ fortwo cabrio,16.7 kWh useable battery,Available since January 2020,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,2,"€25,200",N/A,Smart
Honda e Advance,28.5 kWh useable battery,Available since August 2020,145 km/h,170 km,168 Wh/km,180 km/h,Rear Wheel Drive,4,"€39,900","£36,920",Honda
Porsche Taycan 4S,71 kWh useable battery,Available since May 2020,250 km/h,395 km,180 Wh/km,970 km/h,All Wheel Drive,4,"€108,867","£86,500",Porsche
Porsche Taycan 4S Plus,83.7 kWh useable battery,Available since April 2020,250 km/h,460 km,182 Wh/km,1130 km/h,All Wheel Drive,4,"€114,389","£90,406",Porsche
Mercedes EQV 300 Long,90 kWh useable battery,Available since September 2020,160 km/h,305 km,295 Wh/km,310 km/h,Front Wheel Drive,7,"€71,626","£83,530",Mercedes
Lexus UX 300e,45 kWh useable battery,Available since November 2020,160 km/h,235 km,191 Wh/km,150 km/h,Front Wheel Drive,5,"€47,550",N/A,Lexus
BMW i4 eDrive40,80.7 kWh useable battery,Available since November 2021,190 km/h,470 km,172 Wh/km,730 km/h,Rear Wheel Drive,5,"€59,200","£57,890",BMW
Renault Twingo Electric,21.3 kWh useable battery,Available since November 2020,135 km/h,130 km,164 Wh/km,-,Rear Wheel Drive,4,"€28,000",N/A,Renault
Fiat 500e Cabrio 42 kWh,37.3 kWh useable battery,Available since November 2020,150 km/h,230 km,162 Wh/km,380 km/h,Front Wheel Drive,4,"€37,990","£33,645",Fiat
Skoda Enyaq iV 60,58 kWh useable battery,Available since April 2021,160 km/h,325 km,178 Wh/km,440 km/h,Rear Wheel Drive,5,N/A,"£38,970",Skoda
Skoda Enyaq iV 80,77 kWh useable battery,Available since April 2021,160 km/h,420 km,183 Wh/km,530 km/h,Rear Wheel Drive,5,"€48,900","£42,925",Skoda
Skoda Enyaq iV 80x,77 kWh useable battery,Available since June 2021,160 km/h,400 km,193 Wh/km,500 km/h,All Wheel Drive,5,N/A,"£51,765",Skoda
Skoda Enyaq iV RS,77 kWh useable battery,Available since October 2022,180 km/h,390 km,197 Wh/km,540 km/h,All Wheel Drive,5,"€63,300",N/A,Skoda
Fiat 500e Hatchback 42 kWh,37.3 kWh useable battery,Available since November 2020,150 km/h,235 km,159 Wh/km,390 km/h,Front Wheel Drive,4,"€34,990","£30,645",Fiat
